타임스탬프	내 컴퓨터(개발을 위해 일상적으로 쓸 컴퓨터 기준)의 운영체제는...	나는 Python에 대해 이 정도로 자신 있다.	나는 관계형 데이터베이스에 대해 이 정도로 자신 있다.	나는 프로그래밍 또는 개발 경험이 이 정도 된다.	내 전공은...	내 학년은... (학번보다는 수강한 학점 기준으로 대략!)	내가 Backend 세미나를 택한 이유는...	내가 와플스튜디오에 함께하려는 이유는...	세미나 진행에 있어 하고 싶은 말이나 바라는 점이 있다면?
2020-08-25 22:04:25	Windows	3	1	3	컴퓨터공학부 주전공	2학년			
2020-08-25 22:04:25	Windows	4	2	5	컴퓨터공학부 주전공	1학년			
2020-08-25 22:04:26	Windows	1	1	2	컴퓨터공학부 주전공	2학년			
2020-08-25 22:04:38	Windows	3	2	4	타전공	4학년 이상			
2020-08-25 22:05:39	win + Ubuntu / 웹개발은 win 	5	2	3	컴퓨터공학부 주전공	2학년			
2020-08-25 22:06:12	Windows	4	1	1	타전공	3학년			
2020-08-25 22:06:15	MacOS	5	1	1	컴퓨터공학부 주전공	1학년			
2020-08-25 22:06:44	Windows	3	1	2	타전공	2학년			
2020-08-25 22:07:12	Windows	3	1	2	컴퓨터공학부 주전공	2학년			
2020-08-25 22:07:35	MacOS	5	1	3	컴퓨터공학부 주전공	1학년			
2020-08-25 22:07:42	Windows Ubuntu 듀얼부팅	5	1	4	컴퓨터공학부 주전공	1학년			
2020-08-25 22:07:43	MacOS	4	1	3	컴퓨터공학부 주전공	2학년			
2020-08-25 22:08:06	Windows	3	5	5	컴퓨터공학부 주전공	2학년			
2020-08-25 22:08:10	Windows	4	1	3	컴퓨터공학부 주전공	2학년			
2020-08-25 22:08:22	Windows	4	1	3	컴퓨터공학부 부전공 또는 복수전공	2학년			
2020-08-25 22:09:36	MacOS	3	2	3	컴퓨터공학부 주전공	2학년			
2020-08-25 22:10:32	Windows	5	1	3	타전공	2학년			
2020-08-25 22:12:06	MacOS	3	2	2	컴퓨터공학부 주전공	2학년			
2020-08-25 22:14:35	Windows	4	2	4	컴퓨터공학부 주전공	1학년			
2020-08-25 22:15:08	Linux	4	3	3	컴퓨터공학부 주전공	3학년			
2020-08-25 22:15:25	Windows	5	5	5	타전공	4학년 이상			
2020-08-25 22:16:14	Windows	3	1	1	타전공	1학년			
2020-08-25 22:19:35	MacOS	4	4	4	컴퓨터공학부 주전공	4학년 이상			
2020-08-25 22:23:05	Windows	4	1	3	컴퓨터공학부 주전공	2학년			
2020-08-25 22:24:04	Windows	4	3	2	컴퓨터공학부 부전공 또는 복수전공	3학년			
2020-08-25 22:31:59	Windows	5	2	4	컴퓨터공학부 주전공	2학년			
2020-08-25 22:36:35	Windows	1	1	1	타전공	3학년			
2020-08-25 22:36:40	Windows	5	3	1	타전공	3학년			
2020-08-25 22:37:04	MacOS	3	1	4	컴퓨터공학부 주전공	2학년			
2020-08-25 22:37:10	Windows	3	3	4	컴퓨터공학부 부전공 또는 복수전공	3학년			
2020-08-25 22:42:13	Windows	3	5	5	컴퓨터공학부 주전공	2학년			
2020-08-25 22:45:05	Windows	1	1	1	타전공	4학년 이상			
2020-08-25 22:45:48	Windows	5	1	2	컴퓨터공학부 부전공 또는 복수전공	3학년			
2020-08-25 22:48:37	Windows 10과 Linux(Ubuntu 20.04)를 혼용	5	1	3	컴퓨터공학부 주전공	1학년			
2020-08-25 23:03:44	Windows	4	1	1	컴퓨터공학부 주전공	1학년			
2020-08-25 23:06:54	Windows	2	2	2	컴퓨터공학부 부전공 또는 복수전공	2학년			
2020-08-25 23:46:25	MacOS	4	1	1	컴퓨터공학부 주전공	2학년			
2020-08-26 00:26:18	Windows	3	1	3	컴퓨터공학부 주전공	2학년			
2020-08-26 00:57:48	Windows	1	1	3	타전공	2학년			
2020-08-26 01:01:29	Windows	3	1	2	타전공	2학년			
2020-08-26 01:06:35	Windows	2	1	2	컴퓨터공학부 주전공	2학년			
2020-08-26 09:30:20	Windows	3	3	2	컴퓨터공학부 주전공	2학년			
2020-08-26 10:13:31	MacOS	5	5	5	컴퓨터공학부 주전공	3학년			
2020-08-26 11:28:03	MacOS	5	1	3	컴퓨터공학부 주전공	1학년			
2020-08-26 13:33:48	Windows	1	1	1	타전공	3학년			
2020-08-26 16:37:59	Windows	3	1	1	타전공	2학년			
2020-08-26 18:10:41	MacOS	4	2	2	컴퓨터공학부 주전공	2학년			
2020-08-26 18:39:34	MacOS	4	1	3	컴퓨터공학부 주전공	2학년			
2020-08-26 20:03:03	Windows	4	1	3	컴퓨터공학부 주전공	1학년			